Year,Population,Gdp,Mortgage,Unemp_rate,Income,Midwest_house_price,Northeast_house_price,South_house_price,West_house_price,H_priceindex,Inflation %,Price
2000,282398.42,10250.95,8.05,1.77,67470,168350.0,230750.0,147800.0,196025.0,104.77,3.38,205375.0
2001,285225.17,10581.93,6.97,2.42,66360,171425.0,247500.0,153925.0,214075.0,113.18,2.83,211050.0
2002,287954.58,10929.11,6.54,3.18,65820,176375.0,264450.0,162125.0,237650.0,122.28,1.59,226700.0
2003,290626.25,11456.45,5.83,3.32,65860,182075.0,259350.0,165800.0,261075.0,133.73,2.27,244550.0
2004,293262.33,12217.2,5.84,2.85,65760,206200.0,321850.0,178200.0,281525.0,150.44,2.68,272125.0
2005,295992.92,13039.2,5.87,2.43,66780,213700.0,345375.0,192650.0,329000.0,171.74,3.39,291275.0
2006,298817.67,13815.58,6.41,2.19,67520,211700.0,352775.0,203775.0,339625.0,183.45,3.23,303900.0
2007,301696.17,14474.23,6.34,2.29,68610,205750.0,328350.0,215250.0,329400.0,179.92,2.85,309800.0
2008,304543.08,14769.86,6.03,3.12,66280,201225.0,341075.0,200575.0,295925.0,164.06,3.84,289075.0
2009,307240.08,14478.07,5.04,5.96,65850,190300.0,308525.0,192950.0,263075.0,148.55,-0.36,269350.0
2010,309838.83,15048.97,4.69,5.99,64300,198450.0,333775.0,196375.0,259025.0,144.67,1.64,272025.0
2011,312295.25,15599.73,4.45,5.27,63350,203400.0,318050.0,207800.0,253500.0,139.26,3.16,264600.0
2012,314725.42,16253.97,3.66,4.42,63350,228100.0,356575.0,223175.0,271900.0,140.99,2.07,288225.0
2013,317099.0,16880.68,3.98,3.92,65740,249825.0,371250.0,241375.0,311700.0,154.52,1.46,321650.0
2014,319600.42,17608.14,4.17,3.12,64900,269275.0,388550.0,261750.0,338000.0,164.7,1.62,345450.0
2015,322112.67,18295.02,3.85,2.58,68410,275225.0,435050.0,270125.0,347325.0,172.18,0.12,350450.0
2016,324609.33,18804.91,3.65,2.33,70840,277975.0,427225.0,280150.0,367625.0,180.93,1.26,359650.0
2017,326859.67,19612.1,3.99,2.13,72090,282100.0,495250.0,290150.0,388500.0,191.4,2.13,381150.0
2018,328794.5,20656.52,4.54,1.84,73030,290300.0,478550.0,292200.0,411075.0,202.48,2.44,382475.0
2019,330512.58,21521.4,3.94,1.69,78250,285350.0,486675.0,288300.0,407625.0,209.47,1.81,379875.0
2020,331787.42,21322.95,3.11,6.13,76660,295450.0,477675.0,296275.0,411625.0,222.15,1.23,389800.0
2021,332351.17,23594.03,2.96,3.17,76330,344050.0,548800.0,355000.0,507000.0,260.05,4.7,457375.0
2022,333595.08,25744.11,5.34,1.68,74580,406800.0,563200.0,382400.0,557200.0,298.49,8.0,535500.0
